Assembly Name,Assembly Accession,Assembly Paired Assembly Accession,Organism Name,Organism Taxonomic ID,ANI Check status,Annotation Name,Assembly Stats Total Sequence Length,Assembly Stats Number of Contigs,Assembly Stats Scaffold N50,Assembly Stats GC Percent,Annotation Count Gene Total,Annotation Count Gene Protein-coding
chrysanthemum makinoi genome sequence,GCA_910596185.1,,Chrysanthemum makinoi,1478180,,,3113668257,27876,330012911,36,,
ASM3240290v1,GCA_032402905.1,,Khaya senegalensis,587579,,,247317507,4578,8626186,32.5,,
Zm-B73-REFERENCE-NAM-5.0,GCF_902167145.1,GCA_902167145.1,Zea mays,4577,,GCF_902167145.1-RS_2025_02,2182075994,1393,226353449,47,49888,34313
IWGSC CS RefSeq v2.1,GCF_018294505.1,GCA_018294505.1,Triticum aestivum,4565,,GCF_018294505.1-RS_2025_04,14566502436,306348,713360525,46,155467,103793
Glycine_max_v4.0,GCF_000004515.6,GCA_000004515.5,Glycine max,3847,,GCF_000004515.6-RS_2025_01,978386919,9197,20441467,34.5,59048,47068
Gossypium_hirsutum_v2.1,GCF_007990345.1,GCA_007990345.1,Gossypium hirsutum,3635,,GCF_007990345.1-RS_2024_08,2305241538,6733,108141443,34.5,99454,67584
Da-Ae,GCF_020379485.1,GCA_020379485.1,Brassica napus,3708,,NCBI Brassica napus Annotation Release 102,1001499700,4004,48209797,37,123214,90897
MorexV3_pseudomolecules_assembly,GCF_904849725.1,GCA_904849725.1,Hordeum vulgare subsp. vulgare,112509,,NCBI Hordeum vulgare subsp. vulgare Annotation Release 100,4225577519,452,610333535,44.5,58438,31448
ASM71507v2,GCF_000715075.1,GCA_000715075.2,Nicotiana tabacum,4097,,GCF_000715075.1-RS_2025_07,3995639705,1409,166564946,39,79372,60381
CAAS_Brap_v3.01,GCF_000309985.2,GCA_000309985.3,Brassica rapa,3711,,NCBI Brassica rapa Updated Annotation Release 103.20201202,352829610,1507,28928902,37,51589,41403
Sorghum_bicolor_NCBIv3,GCF_000003195.3,GCA_000003195.3,Sorghum bicolor,4558,,NCBI Sorghum bicolor Annotation Release 101,708735318,4773,68658214,44,32945,28236
Cucumber_9930_V3,GCF_000004075.3,GCA_000004075.3,Cucumis sativus,3659,,NCBI Cucumis sativus Annotation Release 102,224801081,173,31125843,32.5,23999,20040
MtrunA17r5.0-ANR,GCF_003473485.1,GCA_003473485.2,Medicago truncatula,3880,,GCF_003473485.1-RS_2025_04,429612362,62,56236587,33.5,39590,31928
ASM3437652v1,GCA_034376525.1,,Nicotiana benthamiana,4100,,,2791887191,671,142632486,38,,
Chlamydomonas_reinhardtii_v5.5,GCF_000002595.2,GCA_000002595.3,Chlamydomonas reinhardtii,3055,,Annotation submitted by DOE Joint Genome Institute,111098438,1512,7783580,64,17742,17742
arahy.Tifrunner.gnm2.J5K5,GCF_003086295.3,GCA_003086295.3,Arachis hypogaea,3818,,GCF_003086295.3-RS_2025_02,2557413415,4139,135027066,36.5,110961,65994
UCD10Xv1.1,GCF_002878395.1,GCA_002878395.3,Capsicum annuum,4072,,NCBI Capsicum annuum Annotation Release 101,3211819707,133777,227195441,35,48341,32202
Prunus_persica_NCBIv2,GCF_000346465.2,GCA_000346465.2,Prunus persica,3760,,NCBI Prunus persica Annotation Release 100,227411381,2530,27368013,37.5,26412,23135
BOL,GCF_000695525.1,GCA_000695525.1,Brassica oleracea var. oleracea,109376,,NCBI Brassica oleracea Annotation Release 100,488593889,83955,48366697,36,53125,44382
P. vulgaris v2.0,GCF_000499845.2,GCA_000499845.2,Phaseolus vulgaris,3885,,GCF_000499845.2-RS_2024_09,537154354,1032,1885876,35.5,34165,29679
USDA_Cmelo_AY_1.0,GCF_025177605.1,GCA_025177605.1,Cucumis melo,3656,,NCBI Cucumis melo Annotation Release 102,438252206,1548,30457480,36,28628,20741
ASM2916894v1,GCF_029168945.1,GCA_029168945.1,Cannabis sativa,3483,,GCF_029168945.1-RS_2023_11,770269637,70,76975026,34,35194,28747
ipoBat4,GCA_002525835.2,,Ipomoea batatas,4120,,,837013208,180720,41463214,35,,
Phypa V5,GCF_000002425.5,GCA_000002425.3,Physcomitrium patens,3218,,GCF_000002425.5-RS_2025_04,471971527,2149,17432721,33.5,24540,21535
M.esculenta_v8,GCF_001659605.2,GCA_001659605.2,Manihot esculenta,3983,,NCBI Manihot esculenta Annotation Release 101,639586700,756,29151420,37.5,34312,29735
Cicar.CDCFrontier_v2.0,GCF_000331145.2,GCA_000331145.2,Cicer arietinum,3827,,GCF_000331145.2-RS_2025_04,530271971,39952,65803235,31,29938,24841
Brachypodium_distachyon_v3.0,GCF_000005505.3,GCA_000005505.4,Brachypodium distachyon,15368,,NCBI Brachypodium distachyon Annotation Release 103,271163419,35,30223662,46.5,31335,25535
Cavendish_Baxijiao_AAA,GCF_036884655.1,GCA_036884655.1,Musa acuminata AAA Group,214697,,GCF_036884655.1-RS_2024_05,1533734047,1304,44888720,40,132906,91526
P.trichocarpa_v4.1,GCF_000002775.5,GCA_000002775.4,Populus trichocarpa,3694,,NCBI Populus trichocarpa Annotation Release 102,392162179,105,13159747,34,34621,29617
ASM3005281v1,GCF_030052815.1,GCA_030052815.1,Hevea brasiliensis,3981,,GCF_030052815.1-RS_2023_06,1876490218,2181,101662298,34.5,50196,36705
Setaria_italica_v2.0,GCF_000263155.2,GCA_000263155.2,Setaria italica,4555,,NCBI Setaria italica Annotation Release 103,405732883,6778,47252588,46,32124,27505
CAAS_Psat_ZW6_1.0,GCF_024323335.1,GCA_024323335.2,Lathyrus oleraceus,3888,,GCF_024323335.1-RS_2025_08,3796066963,2392,523395090,38,65673,40030
HanXRQr2.0-SUNRISE,GCF_002127325.2,GCA_002127325.2,Helianthus annuus,4232,,NCBI Helianthus annuus Annotation Release 101,3009595538,2712,176490873,38.5,83308,57237
CATAS_Mindica_2.1,GCF_011075055.1,GCA_011075055.1,Mangifera indica,29780,,NCBI Mangifera indica Annotation Release 100,391961648,419,17652500,32.5,38372,32071
O_europaea_v1,GCF_002742605.1,GCA_002742605.1,Olea europaea var. sylvestris,158386,,NCBI Olea europaea var. sylvestris Annotation Release 100,1140989389,83943,12567911,35.5,47911,40126
ASM80110v3,GCF_000801105.2,GCA_000801105.3,Raphanus sativus,3726,,GCF_000801105.2-RS_2023_06,433430583,9120,37282294,36,65241,51440
ASM2020560v1,GCA_020205605.1,,Panax ginseng,4054,,,3355148547,1019,143450974,34,,
ASM5190371v1,GCA_051903715.1,,Actinidia chinensis,3625,,,607462286,46,21144679,35.5,,
EL10.2,GCF_026745355.1,GCA_026745355.1,Beta vulgaris subsp. vulgaris,3555,,GCF_026745355.1-RS_2023_06,568751015,3098,61987056,36,30391,24186
ASM1870372v1,GCA_018703725.1,,Brassica juncea,3707,,,933495403,2522,59341207,37.5,,
LjGifu_v1.2,GCF_012489685.1,GCA_012489685.2,Lotus japonicus,34305,,GCF_012489685.1-RS_2023_06,553706387,1690,95628465,38,40429,32752
EG11,GCF_000442705.2,GCA_000442705.2,Elaeis guineensis,51953,,GCF_000442705.2-RS_2025_04,1841922575,37553,128314321,38.5,37671,28077
ASM1951458v1,GCA_019514585.1,,Dendrobium officinale,142615,,,1228668275,2779,63069788,35.5,,
HAU_Langdon,GCA_051168695.1,,Triticum turgidum,4571,,,10469848740,2149,751300603,46,,
KIB_Pedu_3,GCA_036346405.1,,Phyllostachys edulis,38705,,,2034545953,1933,79772726,44,,
ASM2063173v1,GCA_020631735.1,,Saccharum officinarum,4547,,,6804885551,103458,82862972,44.5,,
IMPLAD_Smil_shh,GCF_028751815.1,GCA_028751815.1,Salvia miltiorrhiza,226208,,GCF_028751815.1-RS_2023_06,530963680,866,60279590,37.5,42046,32434
Coffea Arabica ET-39 HiFi,GCF_036785885.1,GCA_036785885.1,Coffea arabica,13443,,GCF_036785885.1-RS_2025_02,1198133039,239,53737150,37.5,80883,50280
ASM1899795v1,GCA_018997955.1,,Gossypium barbadense,3634,,,2210132348,2027,102448369,34,,
S_indicum_v1.0,GCF_000512975.1,GCA_000512975.1,Sesamum indicum,4182,,NCBI Sesamum indicum Annotation Release 101,274906174,26175,2060396,35,26667,24075
Asativa_cv_Williams_v1.0,GCA_951802345.1,,Avena sativa,4498,,,11107750728,2815,515070357,44,,
FraVesHawaii_1.0,GCF_000184155.1,GCA_000184155.1,Fragaria vesca subsp. vesca,101020,,NCBI Fragaria vesca Annotation Release 101,214217322,16478,27879571,38.5,24946,22383
ASM3076508v1,GCA_030765085.1,,Allium cepa,4679,,,15932385976,3013,1056413696,34,,
Vradiata_ver6,GCF_000741045.1,GCA_000741045.2,Vigna radiata var. radiata,3916,,NCBI Vigna radiata Annotation Release 101,463085359,23499,25360630,33,30003,27075
ASM1680105v1,GCA_016801055.1,,Panax notoginseng,44586,,,2660677618,5523,216472261,34.5,,
P.virgatum_v5,GCF_016808335.1,GCA_016808335.1,Panicum virgatum,38727,,NCBI Panicum virgatum Annotation Release 100,1129857985,1090,5460973,47,74976,55598
drPyrComm1.1,GCF_963583255.1,GCA_963583255.1,Pyrus communis,23211,,GCF_963583255.1-RS_2024_09,487337232,176,27625376,37.5,42167,34369
Walnut 2.0,GCF_001411555.2,GCA_001411555.2,Juglans regia,51240,,NCBI Juglans regia Annotation Release 101,572786133,25807,37114715,36,37996,30709
Petunia_hybrid_v1.0,GCA_046563445.1,,Petunia x hybrida,4102,,,1269578353,1017,172095780,38.5,,
Kyuss_2.0,GCF_019359855.2,GCA_019359855.2,Lolium perenne,4522,,GCF_019359855.2-RS_2025_02,2264761315,165,333278994,44.5,56406,38554
ASM2569848v2,GCF_025698485.1,GCA_025698485.2,Gossypium arboreum,29729,,GCF_025698485.1-RS_2022_12,1620504428,1171,129592444,35,53473,33478
ASM765513v2,GCF_007655135.1,GCA_007655135.2,Punica granatum,22663,,NCBI Punica granatum Annotation Release 100,320335647,661,39957110,40.5,29281,23795
Criollo_cocoa_genome_V2,GCF_000208745.1,GCA_000208745.2,Theobroma cacao,3641,,NCBI Theobroma cacao Annotation Release 100,324719311,7742,36364294,34,24957,21518
ASM1206604v3,GCA_012066045.3,,Morus alba,3498,,,336436126,518,21537881,34.5,,
ASM411807v2,GCF_004118075.2,GCA_004118075.2,Vigna unguiculata,3917,,NCBI Vigna unguiculata Annotation Release 100,518595462,743,41684185,33,34292,28223
ddAraHall_1.3,GCA_964271285.1,,Arabidopsis halleri,81970,,Annotation submitted by Genoscope,227207528,305,25922902,37,36016,36016
ASM4818357v1,GCA_048183575.1,,Vicia faba,3906,,"Annotation submitted by Institute of Crop Sciences, Chinese Academy of Agricultural Sciences",11807183301,3099,1574410792,37.5,37398,37398
Ft1.0,GCA_002319775.1,,Fagopyrum tataricum,62330,,,505882852,8759,53883329,38.5,,
ASM4379347v1,GCA_043793475.1,,Eriobotrya japonica,32224,,,727086163,353,42057830,38,,
SDAU_Spim_LA1589_1.0,GCA_034621305.1,,Solanum pimpinellifolium,4084,,,833190614,1040,69721801,34.5,,
ASM2231669v1,GCA_022316695.1,,Camellia oleifera,385388,,,2889508820,7266,185364083,37.5,,
PTv2,GCA_018804465.1,,Populus tomentosa,118781,,Annotation submitted by Ori-Gene Co. Ltd.,738799493,4017,17128596,33.5,60139,59102
C.cajan_V1.1,GCF_000340665.2,GCA_000340665.2,Cajanus cajan,3821,,NCBI Cajanus cajan Annotation Release 101,590369945,67833,557663,33,33324,29045
Cajca.Asha_v2.0,GCA_000340665.3,,Cajanus cajan,3821,,,594702767,76355,53895704,33,,
BTI_SOV_V1,GCF_020520425.1,GCA_020520425.1,Spinacia oleracea,3562,,GCF_020520425.1-RS_2025_04,894256318,307,151450279,38,39719,28771
ASM154086v1,GCF_001540865.1,GCA_001540865.1,Ananas comosus,4615,,NCBI Ananas comosus Annotation Release 100,381896302,9390,11759267,38.5,25758,22251
RchiOBHm-V2,GCF_002994745.2,GCA_002994745.2,Rosa chinensis,74649,,NCBI Rosa chinensis Annotation Release 101,515118979,86,69643165,39,41273,30924
Setaria_viridis_v4.0,GCF_005286985.2,GCA_005286985.2,Setaria viridis,4556,,GCF_005286985.2-RS_2025_03,397277387,39,21048138,46,34587,27570
ASM1957865v1,GCF_019578655.1,GCA_019578655.1,Ricinus communis,3988,,NCBI Ricinus communis Annotation Release 102,315619833,470,31927722,33,25340,20511
palm_55x_up_171113_PBpolish2nd_filt_p,GCF_009389715.1,GCA_009389715.1,Phoenix dactylifera,42345,,NCBI Phoenix dactylifera Annotation Release 103,772315838,2706,4728343,40.5,36764,29239
Aet v6.0,GCF_002575655.3,GCA_002575655.3,Aegilops tauschii subsp. strangulata,200361,,GCF_002575655.3-RS_2025_04,4122383441,1461,584392036,46.5,71789,41875
dhQueRobu3.1,GCF_932294415.1,GCA_932294415.1,Quercus robur,38942,,NCBI Quercus robur Annotation Release 100,789187406,214,68065914,35.5,45167,32231
ASM1654582v1,GCF_016545825.1,GCA_016545825.1,Eucalyptus grandis,71139,,NCBI Eucalyptus grandis Annotation Release 102,615891308,1747,58486256,39.5,42619,33352
ASM280686v2,GCF_002806865.2,GCA_002806865.2,Cucurbita pepo subsp. pepo,3664,,NCBI Cucurbita pepo subsp. pepo Annotation Release 100,259381069,30570,9833969,36.5,35783,29279
lpSecCere.Lo7.IPK.v3,GCA_965641915.1,,Secale cereale,4550,,,6702647067,348,943691929,46,,
Sugi_1.0,GCF_030272615.1,GCA_030272615.1,Cryptomeria japonica,3369,,GCF_030272615.1-RS_2023_08,9046532310,5729,754841075,36.5,61123,41227
Zo_v1.1,GCF_018446385.1,GCA_018446385.1,Zingiber officinale,94328,,NCBI Zingiber officinale Annotation Release 100,3090266393,1108,141269392,39,89817,68154
KK8_genome,GCA_965199375.1,,Fagopyrum esculentum,3617,,,1190245703,75,151650717,40,,
Safflower_A2,GCA_053455455.1,,Carthamus tinctorius,4222,,,1158909676,2075,88402939,38.5,,
drHumLupu1.1,GCF_963169125.1,GCA_963169125.1,Humulus lupulus,3486,,GCF_963169125.1-RS_2024_01,2488098718,448,251527947,39,57465,35582
Eleusine_coracana_v1.0,GCA_032690845.1,,Eleusine coracana subsp. coracana,191504,,Annotation submitted by University of Georgia,1111714373,674,15268596,44,48836,48836
CmollissimaMahoganyHAP1 v1.0,GCA_053895485.1,,Castanea mollissima,60419,,Annotation submitted by HudsonAlpha Institute for Biotechnology,720433309,33,60804298,35,25399,25399
ASM2445417v1,GCA_024454175.1,,Actinidia deliciosa,3627,,,621990945,132,21085329,35.5,,
Salk_sp9512.v2,GCA_024713555.1,,Spirodela polyrhiza,29656,,,140441426,196,7835987,42.5,,
P.mume_V1.0,GCF_000346735.1,GCA_000346735.1,Prunus mume,102107,,NCBI Prunus mume Annotation Release 101,233872527,23760,636887,37.5,26522,23423
ASM3073787v1,GCA_030737875.1,,Allium sativum,4682,,,16462794857,8319,1056413696,36,,
84K_subgenomeG,GCA_033617975.1,,Populus alba x Populus glandulosa,153471,,,416757694,27,23408591,35,,
ASM419377v2,GCF_004193775.1,GCA_004193775.2,Glycine soja,3848,,NCBI Glycine soja Annotation Release 100,1013211804,1870,50696784,35,59365,47201
ASM2146441v1,GCA_021464415.1,,Lonicera japonica,105884,,,886131823,1881,79566881,34.5,,
Cnuc_CPCRI_v2,GCA_003604295.2,,Cocos nucifera,13894,,,2687377809,35440,174886800,37.5,,
Cs,GCF_000633955.1,GCA_000633955.1,Camelina sativa,90675,,NCBI Camelina sativa Annotation Release 101,641356059,72248,30099736,36.5,98741,82569
ASM2641318v1,GCA_026413185.1,,Pueraria montana var. lobata,3893,,,939214006,374,81655469,33.5,,
ASM1917538v2,GCF_019175385.1,GCA_019175385.2,Lycium barbarum,112863,,GCF_019175385.1-RS_2023_10,1669658834,1730,137364012,38,47740,34339
ASM523922v2,GCF_005239225.2,GCA_005239225.2,Populus alba,43335,,GCF_005239225.2-RS_2025_04,416395670,1279,22734209,33.5,36188,30246
ALMONDv2,GCF_902201215.1,GCA_902201215.1,Prunus dulcis,3755,,NCBI Prunus dulcis Annotation Release 100,227599157,4395,24375383,37.5,26936,23151
ASM1664770v1,GCA_016647705.1,,Eucommia ulmoides,4392,,,947850454,629,53150112,35,,
ZGL_assembly,GCA_020226455.1,,Prunus salicina,88123,,,267139013,339,30743302,37.5,,
BJFU_zoysia2.1,GCA_040438285.1,,Zoysia japonica,309978,,,326397847,173,18719807,44,,
ASM357369v1,GCF_003573695.1,GCA_003573695.1,Papaver somniferum,3469,,NCBI Papaver somniferum Annotation Release 100,2715377404,65343,204470928,37.5,91581,63018
ASM1835013v1,GCA_018350135.1,,Citrus trifoliata,37690,,,303066955,707,1174493,34,,
ITB_CL_G26_1.1,GCF_044706935.1,GCA_044706935.1,Curcuma longa,136217,,GCF_044706935.1-RS_2025_06,368886077,11698,12811916,38,37498,29879
Aspof.V1,GCF_001876935.1,GCA_001876935.1,Asparagus officinalis,4686,,NCBI Asparagus officinalis Annotation Release 100,1187538024,56182,131339754,39,32237,26460
Gp_T2Tv1.0,GCA_046127195.1,,Gynostemma pentaphyllum,182084,,,623535357,147,54421998,33.5,,
ASM4854445v1,GCF_048544455.1,GCA_048544455.1,Silene latifolia,37657,,GCF_048544455.1-RS_2025_06,2716323241,1545,200709446,39,73435,46684
OglaRS2,GCF_000147395.1,GCA_000147395.3,Oryza glaberrima,4538,,NCBI Oryza glaberrima Annotation Release 100,347321046,72,15217274,43,34185,27018
ASM2298485v1,GCA_022984855.1,,Dimocarpus longan,128017,,,454299200,319,29551905,34,,
ddPopNigr1.1,GCF_951802175.1,GCA_951802175.1,Populus nigra,3691,,GCF_951802175.1-RS_2024_01,413224811,298,22490379,35,38563,29119
ARS_RC_1.1,GCF_020283565.1,GCA_020283565.1,Trifolium pratense,57577,,NCBI Trifolium pratense Annotation Release 100,413578898,319,57907604,33.5,43682,33610
ASM4086908v1,GCA_040869085.1,,Codonopsis pilosula,86864,,,679604502,1578,80500540,37,,
Amur_grape_Zuoshan1,GCA_037355405.1,,Vitis amurensis,103351,,,615429587,4204,24934224,34.5,,
Dnobile,GCA_022539455.1,,Dendrobium nobile,94219,,Annotation submitted by Guangzhou Medical University,1199116975,1603,64459299,35.5,29476,29043
ASM980554v1,GCA_009805545.1,,Oryza longistaminata,4528,,,371348348,14614,33924873,42,,
ASM1680809v1,GCF_016808095.1,GCA_016808095.1,Vigna angularis,3914,,GCF_016808095.1-RS_2022_12,447806493,66,41033850,33.5,31811,27320
NIFOS_GasEla_1.0,GCA_016760335.1,,Gastrodia elata,91201,,,1046143939,656,50595616,34.5,,
ASM4812866v1,GCA_048128665.1,,Sporobolus alterniflorus,29706,,,1698702275,55,61698761,45,,
lpPhrAust1.1,GCF_958298935.1,GCA_958298935.1,Phragmites australis,29695,,GCF_958298935.1-RS_2024_01,848669966,96,35123032,44,48300,38444
C.illinoinensisPawnee_v1,GCF_018687715.1,GCA_018687715.1,Carya illinoinensis,32201,,NCBI Carya illinoinensis Annotation Release 100,674272338,38,26527444,36.5,45429,31494
ASM5182053v1,GCA_051820535.1,,Anoectochilus roxburghii,569774,,,5165877821,3735,60986586,39,,
V024.hap1_v1.0,GCA_044591495.1,,Vitis rotundifolia,103349,,,450805677,125,23238731,35,,
ASM5389495v1,GCA_053894955.1,,Colocasia esculenta,4460,,,2336805058,499,181704944,42.5,,
dhFagSylv1.hap1.1,GCA_964211995.1,,Fagus sylvatica,28930,,,484186010,444,37596142,36.5,,
ASM2384627v1,GCA_023846275.1,,Vanilla planifolia,51239,,,1416355720,4697,2981833,31,,
ASM2020561v1,GCA_020205615.1,,Panax quinquefolius,44588,,,3565323611,6765,138596423,34,,
WEW_v2.1,GCF_002162155.2,GCA_002162155.3,Triticum dicoccoides,85692,,NCBI Triticum dicoccoides Annotation Release 100,10677097747,492885,747227478,46,102886,66764
LupAngTanjil_v1.0,GCF_001865875.1,GCA_001865875.1,Lupinus angustifolius,3871,,NCBI Lupinus angustifolius Annotation Release 100,609203021,55107,702610,33.5,38688,33884
ASM1813214v1,GCA_018132145.1,,Boehmeria nivea var. tenacissima,396368,,,270213153,450,19552154,35,,
ASM3073781v1,GCA_030737815.1,,Allium fistulosum,35875,,,11672876163,738,1405468554,35.5,,
PI306540_Tmono,GCA_034509565.1,,Triticum monococcum,4568,,,5115539301,223,728660354,46.5,,
ASM4143038v1,GCA_041430385.1,,Lycium ruthenicum,112879,,,2251296259,699,188110659,38.5,,
Cte V1.0,GCA_037177725.1,,Cyamopsis tetragonoloba,3832,,,481203946,261,62636927,33.5,,
Hmc_EndlessSummer_p1.0,GCA_033977485.1,,Hydrangea macrophylla,23110,,,2222055030,374,119472126,38.5,,
ASM2569854v1,GCF_025698545.1,GCA_025698545.1,Gossypium raimondii,29730,,NCBI Gossypium raimondii Annotation Release 101,750205487,366,57716579,33,46830,34039
OSU_TarKok_2.0,GCA_047496595.1,,Taraxacum kok-saghyz,333970,,Annotation submitted by Ohio State University,1212967972,842,152490435,38,40057,39103
ASM2309106v1,GCA_023091065.1,,Dianthus caryophyllus,3570,,,636302055,82,38554967,37.5,,
daFraExce3.hap1.2,GCA_965226085.2,,Fraxinus excelsior,38873,,,759711566,693,33045252,35,,
C.richardii_v2,GCA_020310875.1,,Ceratopteris richardii,49495,,Annotation submitted by Open Green Genomes Project,7462456809,10776,2273607,38.5,36816,36816
ASM784424v1,GCA_007844245.1,,Pyrus betulifolia,436086,,,532246571,592,28122385,37.5,,
Perrie_v1.0,GCA_046254565.1,,Ocimum basilicum,39350,,,2167212243,1070,99061751,39,,
guava_v11.23,GCA_016432845.1,,Psidium guajava,120290,,,443755635,73,40370300,39.5,,
ASM1713956v1,GCA_017139565.1,,Luffa aegyptiaca,3670,,,656028354,483,48760765,36,,
ASM3068699v1,GCA_030686995.1,,Artemisia argyi,259893,,,8003642285,14120,206371000,35.5,,
ASM4737121v1,GCA_047371215.1,,Calotropis procera,141467,,,202820955,536,16903989,31.5,,
NIFOS_PopDav_1.0,GCA_030145905.1,,Populus davidiana,266767,,,408133675,541,20279470,35,,
O.fragrans.LYG.hic.fasta,GCA_019395295.1,,Osmanthus fragrans,93977,,,733263510,637,29171062,34.5,,
ASM2307855v1,GCA_023078555.1,,Ulva prolifera,3117,,,88938772,138,11195790,56.5,,
UGA_lav_v1,GCA_028984105.1,,Lavandula angustifolia,39329,,,795075733,1535,31371815,39,,
ASM990537v1,GCF_009905375.1,GCA_009905375.1,Apium graveolens,4045,,GCF_009905375.1-RS_2025_06,3332577507,9485,289786985,35.5,66435,44727
Tu2.1,GCF_003073215.2,GCA_003073215.2,Triticum urartu,4572,,NCBI Triticum urartu Annotation Release 100,4849077157,44013,661480603,46,50810,35768
Mru_ZJU_2,GCA_003952965.2,,Morella rubra,262757,,Annotation submitted by Zhejiang University,313008583,3425,35745824,37.5,29351,29351
amgenome_v1.0,GCA_019155195.1,,Avicennia marina,82927,,,456608395,331,14576716,33.5,,
CcrdV1.1,GCF_001531365.2,GCA_001531365.2,Cynara cardunculus var. scolymus,59895,,NCBI Cynara cardunculus subsp. cardunculus Annotation Release 100,724962400,73303,126020,35.5,30275,26313
D.alata_Kabusa.hap2,GCA_051820375.1,,Dioscorea alata,55571,,,480287338,27,24039800,36.5,,
T_arvense_v2,GCA_911865555.2,,Thlaspi arvense,13288,,Annotation submitted by ecSeq Bioinformatics GmbH,525555146,988,65520834,38.5,26392,26392
OgluRS3,GCA_000576495.2,,Oryza glumipatula,40148,,,388593428,68,18238801,44,,
A.artemisiifolia_dipasm_2023_h1_p,GCA_032199755.1,,Ambrosia artemisiifolia,4212,,,1102797608,1483,58521165,37.5,,
Amaranthus_palmeri.hap1.genome.v01,GCA_051800445.1,,Amaranthus palmeri,107608,,,383947622,2991,23590137,33.5,,
ddPopTrem1.hap1.1,GCA_964106015.1,,Populus tremula,113636,,,408644056,275,20998327,35.5,,
HelTub_1.0,GCA_030545235.1,,Helianthus tuberosus,4233,,,21621108629,70852,192930983,38,,
ASM1662434v1,GCA_016624345.1,,Platycodon grandiflorus,94286,,,574706410,1175,64545416,37,,
ASM1057779v1,GCA_010577795.1,,Isatis tinctoria,161756,,,293865481,1198,36165591,38,,
Rabiosa unphased assembly,GCA_030979885.1,,Lolium multiflorum,4521,,"Annotation submitted by Molecular Plant Breeding Group, ETH Zurich",2462086667,4233,338745007,43.5,72039,72039
ASM1310374v1,GCA_013103745.1,,Gardenia jasminoides,114476,,,534884156,938,43900188,36,,
ASM2146430v1,GCA_021464305.1,,Kandelia obovata,413952,,,190319782,16173,10213665,35.5,,
ASM2245720v1,GCA_022457205.1,,Saccharum spontaneum,62335,,,2761164190,15510,68640501,44.5,,
ASM972705v1,GCF_009727055.1,GCA_009727055.1,Benincasa hispida,102211,,NCBI Benincasa hispida Annotation Release 100,912951219,14936,69945952,35,26068,21004
NIATTr2,GCF_001879085.1,GCA_001879085.1,Nicotiana attenuata,49451,,NCBI Nicotiana attenuata Annotation Release 100,2365682703,103240,524499,40,39977,34094
ASM2352574v1,GCA_023525745.1,,Arctium lappa,4217,,"Annotation submitted by Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences",1727363248,309,91023879,36.5,46935,40570
Oaustraliensis hap1,GCA_051403855.1,,Oryza australiensis,4532,,,906642021,17,72406816,45,,
drVicSati1.hap1.1,GCA_964197575.1,,Vicia sativa,3908,,,1748915206,301,346554540,36,,
ASM3086718v1,GCA_030867185.1,,Tagetes erecta,13708,,"Annotation submitted by Agricultural Genomics Institute at Shenzhen,Chinese Academy of Agricultural Sciences",778926021,47,69673756,35.5,42529,35877
ASM4338093v1,GCA_043380935.1,,Zizania latifolia,58934,,,581696395,38,34710023,43.5,,
V076.hap1_v1.0,GCA_044589835.1,,Vitis labrusca x Vitis vinifera,105599,,,505813296,77,27033781,35.5,,
ASM2139784v1,GCA_021397845.1,,Areca catechu,184783,,,2823079964,7480,186523490,41.5,,
ASM4378986v1,GCA_043789865.1,,Centella asiatica,48106,,,455585504,794,53838392,34.5,,
ASM2958216v1,GCA_029582165.1,,Portulaca oleracea,46147,,,1134782496,208,43531389,37.5,,
ASM2352571v1,GCA_023525715.1,,Cichorium intybus,13427,,"Annotation submitted by Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences",1278752569,718,126222701,35.5,53946,43721
CNRS_Lalb_1.0,GCA_009771035.1,,Lupinus albus,3870,,Annotation submitted by White lupin genome,449991378,135,17349171,33.5,41385,38255
GZUCM_PCab_1.0,GCA_023678885.1,,Pogostemon cablin,28511,,,1940436711,1729,30325545,34.5,,
ASM2274975v1,GCA_022749755.1,,Azadirachta indica,124943,,,281703417,870,19542217,32,,
ASM4999839v1,GCA_049998395.1,,Apocynum venetum,377125,,,229968681,359,20266103,32.5,,
Am_WGS_v1.0,GCA_039655645.1,,Ammopiptanthus mongolicus,126911,,,842357595,1196,92569537,37,,
Populus_simonii_2.0,GCA_007827005.2,,Populus simonii,295327,,,441407051,686,1939262,33.5,,
ASM4766350v1,GCA_047663505.1,,Auxenochlorella pyrenoidosa,3078,,,53067674,67,4941350,67,,
ASM577160v1,GCA_005771605.1,,Scutellaria baicalensis,65409,,,386673738,950,37273076,34,,
EGFV_Vit.rip_1.0,GCF_004353265.1,GCA_004353265.1,Vitis riparia,96939,,NCBI Vitis riparia Annotation Release 100,500105807,1160,23918791,34.5,30745,26189
ASM1661810v1,GCA_016618105.1,,Dendrobium huoshanense,154293,,,1284285095,5419,71787458,35.5,,
ASM3618686v1,GCA_036186865.1,,Eustoma russellianum,52518,,,1324827894,26621,35699481,38,,
ddHypPerf1.hap1.1,GCA_965644135.1,,Hypericum perforatum,65561,,,356621099,286,39703796,38,,
ASM3037835v1,GCA_030378355.1,,Eleusine indica,29674,,,522528889,170,57376714,44,,
